Rank,Account,Owner,Followers(millions),Occupation,Category,Country
1,@BarackObama,Barack Obama,130,44th President of the United States,Politics, United States
2,@justinbieber,Justin Bieber,114,Musician,Ent-Music, Canada
3,@katyperry,Katy Perry,108.7,Musician,Ent-Music, United States
4,@rihanna,Rihanna,103,Musician and businesswoman,Ent-Music, Barbados
5,@Cristiano,Cristiano Ronaldo,94.5,Footballer,Ent-Sports, Portugal
6,@taylorswift13,Taylor Swift,88.8,Musician,Ent-Music, United States
7,@arianagrande,Ariana Grande,84.3,Musician and actress,Ent-Music, United States
8,@ladygaga,Lady Gaga,83.7,Musician and actress,Ent-Music, United States
9,@theellenshow,Ellen DeGeneres,77.8,Comedian and television hostess,Ent-General, United States
10,@youtube,YouTube,73.2,Online video platform,News-Media, United States
11,@narendramodi,Narendra Modi,71.4,Prime Minister of India,Politics, India
12,@kimkardashian,Kim Kardashian,70.2,Television personality and businesswoman,Ent-General, United States
13,@selenagomez,Selena Gomez,65.1,Musician and actress,Ent-Music, United States
14,@jtimberlake,Justin Timberlake,63.3,Musician and actor,Ent-Music, United States
15,@cnnbrk,CNN Breaking News,61.4,News channel,News-Media, United States
16,@elonmusk,Elon Musk,60.1,Business magnate,Tech-Business, United States
17,@twitter[a],Twitter,59.5,Social media platform,News-Media, United States
18,@britneyspears,Britney Spears,55.5,Musician,Ent-Music, United States
19,@billgates,Bill Gates,55.5,Businessman and philanthropist,Tech-Business, United States
20,@neymarjr,Neymar,54.7,Footballer,Ent-Sports, Brazil
21,@cnn,CNN,54.7,News channel,News-Media, United States
22,@ddlovato,Demi Lovato,54.6,Musician,Ent-Music, United States
23,@shakira,Shakira,52.5,Musician,Ent-Music, Colombia
24,@jimmyfallon,Jimmy Fallon,51.3,Comedian and television host,Ent-General, United States
25,@nytimes,The New York Times,50.5,Newspaper,News-Media, United States
26,@kingjames,LeBron James,50.1,Basketball player,Ent-Sports, United States
27,@nasa,NASA,48.6,Space agency,Tech-Business, United States
28,@bbcbreaking,BBC Breaking News,48.2,News channel,News-Media, United Kingdom
29,@mileycyrus,Miley Cyrus,46.3,Musician and actress,Ent-Music, United States
30,@srbachchan,Amitabh Bachchan,46.2,Actor,Ent-General, India
31,@jlo,Jennifer Lopez,45.1,Musician and actress,Ent-Music, United States
32,@pmoindia,PMO India,44.1,Office of the Prime Minister of India,Politics, India
33,@imvkohli,Virat Kohli,43.7,Cricketer,Ent-Sports, India
34,@oprah,Oprah Winfrey,43.1,Television personality and businesswoman,Ent-General, United States
35,@brunomars,Bruno Mars,43.1,Musician,Ent-Music, United States
36,@beingsalmankhan,Salman Khan,42.8,Actor and film producer,Ent-General, India
37,@akshaykumar,Akshay Kumar,42.3,Actor and film producer,Ent-General, India
38,@iamsrk,Shah Rukh Khan,42,Actor and film producer,Ent-General, India
39,@niallofficial,Niall Horan,41.3,Musician,Ent-Music, Republic of Ireland
40,@bts_twt,BTS,39.4,Musicians,Ent-Music, South Korea
41,@drake,Drake,39.2,Rapper,Ent-Music, Canada
42,@kyliejenner,Kylie Jenner,39.1,Television personality and businesswoman,Ent-General, United States
43,@realmadrid,Real Madrid CF,38.5,Football club,Ent-Sports, Spain
44,@fcbarcelona,FC Barcelona,38.1,Football club,Ent-Sports, Spain
45,@sportscenter,SportsCenter,38.1,Sports channel,Ent-Sports, United States
45,@espn,ESPN,37.5,Sports channel,Ent-Sports, United States
47,@harry_styles,Harry Styles,36.9,Musician,Ent-Music, United Kingdom
48,@kevinhart4real,Kevin Hart,36.7,Comedian and actor,Ent-General, United States
49,@championsleague,UEFA Champions League,36.5,Football tournament,Ent-Sports, Europe
50,@wizkhalifa,Wiz Khalifa,36.3,Rapper,Ent-Music, United States